id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,pymnt_plan,url,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d,collections_12_mths_ex_med,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim
34473487,37136832,2000.0,2000.0,2000.0, 36 months,17.14,71.45,D,D4,Contract Administrator ,4 years,RENT,64000.0,Not Verified,Nov-2014,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=34473487,moving,Moving and relocation,080xx,NJ,13.14,0.0,Apr-2004,2.0,7.0,1.0,4309.0,47.9,25.0,f,0.0,0.0,2238.63,2238.63,2000.0,238.63,0.0,0.0,0.0,Aug-2015,1671.79,Jan-2016,0.0,INDIVIDUAL,0.0,0.0,42008.0,9000.0
4125292,5247555,24000.0,24000.0,24000.0, 36 months,11.14,787.33,B,B2,Ansira,9 years,MORTGAGE,146500.0,Verified,Apr-2013,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=4125292,debt_consolidation,Home Renovation,630xx,MO,4.91,0.0,Mar-1991,2.0,12.0,0.0,19420.0,35.8,35.0,f,0.0,0.0,27685.7738627,27685.77,24000.0,3685.77,0.0,0.0,0.0,Feb-2015,11152.34,Mar-2015,0.0,INDIVIDUAL,0.0,0.0,659131.0,54300.0
38429557,41213491,15000.0,15000.0,15000.0, 60 months,12.39,336.64,C,C1,adjuster,10+ years,MORTGAGE,62000.0,Not Verified,Jan-2015,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=38429557,debt_consolidation,Debt consolidation,550xx,MN,14.27,1.0,Sep-2000,0.0,8.0,0.0,9414.0,76.5,19.0,w,0.0,0.0,16112.89,16112.89,15000.0,1112.89,0.0,0.0,0.0,Aug-2015,14113.7,Aug-2015,0.0,INDIVIDUAL,0.0,281.0,187241.0,12300.0
21370073,23682984,9300.0,9300.0,9300.0, 36 months,16.99,331.53,D,D3,lab tech II,5 years,OWN,47544.0,Source Verified,Jul-2014,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=21370073,debt_consolidation,Debt consolidation,631xx,MO,18.6,0.0,Jun-1996,1.0,18.0,1.0,7255.0,34.7,51.0,w,0.0,0.0,10818.85,10818.85,9300.0,1518.85,0.0,0.0,0.0,Aug-2015,6840.49,Jan-2016,0.0,INDIVIDUAL,0.0,1909.0,14629.0,20900.0
37770281,40533011,20000.0,20000.0,20000.0, 60 months,15.59,482.02,D,D1,Truck driver,6 years,RENT,70000.0,Verified,Dec-2014,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=37770281,debt_consolidation,Debt consolidation,603xx,IL,10.51,0.0,Mar-1998,2.0,10.0,1.0,12155.0,42.1,40.0,w,0.0,0.0,20875.31,20875.31,20000.0,875.31,0.0,0.0,0.0,Jun-2015,387.07,Dec-2015,0.0,INDIVIDUAL,0.0,0.0,20883.0,28900.0
1550222,1816324,16425.0,16425.0,16375.0, 36 months,7.9,513.95,A,A4,"Advanced Compliance Solutions, Inc.",2 years,RENT,53000.0,Not Verified,Oct-2012,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1550222,debt_consolidation,Wedding and Debt Consolidation Loan,305xx,GA,20.72,0.0,Jul-2006,0.0,10.0,0.0,14334.0,49.1,15.0,f,0.0,0.0,18501.2942319,18444.98,16425.0,2076.29,0.0,0.0,0.0,Oct-2015,516.56,Sep-2015,0.0,INDIVIDUAL,0.0,0.0,47495.0,29200.0
17263015,19395549,8000.0,8000.0,8000.0, 36 months,10.99,261.88,B,B3,Parts Manager,10+ years,RENT,60000.0,Verified,May-2014,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=17263015,debt_consolidation,Debt consolidation,210xx,MD,14.56,0.0,Sep-2002,1.0,10.0,0.0,8510.0,64.0,60.0,f,0.0,0.0,8618.73,8618.73,8000.0,618.73,0.0,0.0,0.0,Mar-2015,6523.69,Jan-2016,0.0,INDIVIDUAL,0.0,0.0,34087.0,13300.0
6582771,8134736,9000.0,9000.0,9000.0, 36 months,15.22,312.96,C,C3,"Information Enterprises, Inc.",10+ years,MORTGAGE,118000.0,Source Verified,Aug-2013,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=6582771,debt_consolidation,Personal Loan,017xx,MA,17.01,0.0,Jul-2002,2.0,7.0,0.0,9565.0,63.3,17.0,f,0.0,0.0,10948.8916716,10948.89,9000.0,1948.89,0.0,0.0,0.0,Jul-2015,4069.11,Jan-2016,0.0,INDIVIDUAL,0.0,0.0,403818.0,15100.0
65944939,70639674,6000.0,6000.0,6000.0, 36 months,12.59,200.99,C,C2,quality control tech,10+ years,MORTGAGE,90000.0,Verified,Nov-2015,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65944939,other,Other,761xx,TX,20.54,1.0,Nov-2004,1.0,8.0,0.0,0.0,0.0,21.0,f,0.0,0.0,6004.72,6004.72,6000.0,4.72,0.0,0.0,0.0,Dec-2015,6008.92,Dec-2015,0.0,INDIVIDUAL,0.0,499.0,48245.0,9400.0
1548146,1814197,15500.0,15500.0,15500.0, 36 months,7.62,483.01,A,A3,Bloomingdales,1 year,RENT,40000.0,Not Verified,Sep-2012,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1548146,debt_consolidation,Debt consolidation,114xx,NY,29.1,0.0,Dec-2004,0.0,21.0,0.0,2706.0,8.0,38.0,f,0.0,0.0,17298.8834029,17298.88,15500.0,1798.88,0.0,0.0,0.0,Feb-2015,4267.85,Jan-2016,0.0,INDIVIDUAL,0.0,0.0,35197.0,33900.0
33370404,36013638,11950.0,11950.0,11950.0, 36 months,14.99,414.2,C,C5,manager,10+ years,RENT,48000.0,Source Verified,Nov-2014,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=33370404,credit_card,Credit card refinancing,368xx,AL,18.65,3.0,Feb-2003,0.0,13.0,0.0,4840.0,79.3,55.0,f,0.0,0.0,13005.85,13005.85,11950.0,1055.85,0.0,0.0,0.0,Jun-2015,10530.6,Nov-2015,0.0,INDIVIDUAL,0.0,0.0,17947.0,6100.0
9010976,10802475,12800.0,12800.0,12800.0, 36 months,10.99,419.0,B,B2,Learning Standards Manager,10+ years,MORTGAGE,90000.0,Verified,Jan-2014,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=9010976,debt_consolidation,Debt consolidation,346xx,FL,24.03,0.0,Jan-1999,1.0,15.0,0.0,21370.0,61.1,35.0,f,0.0,0.0,14261.0301671,14261.03,12800.0,1461.03,0.0,0.0,0.0,Apr-2015,8395.78,Apr-2015,0.0,INDIVIDUAL,0.0,0.0,202866.0,35000.0
10984938,12897091,12000.0,12000.0,12000.0, 36 months,7.62,373.94,A,A3,Senior Vice President,7 years,MORTGAGE,200000.0,Verified,Jan-2014,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=10984938,debt_consolidation,Debt consolidation,750xx,TX,7.01,0.0,Oct-1997,2.0,12.0,0.0,38767.0,25.0,50.0,f,0.0,0.0,12533.2837595,12533.28,12000.0,533.28,0.0,0.0,0.0,Oct-2014,9033.28,Oct-2014,0.0,INDIVIDUAL,0.0,0.0,318704.0,155000.0
8596103,10348182,15000.0,15000.0,14950.0, 36 months,12.99,505.34,B,B4,RN,3 years,RENT,85000.0,Not Verified,Nov-2013,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=8596103,debt_consolidation,Better Credit ,916xx,CA,9.23,0.0,Oct-1999,0.0,18.0,0.0,21442.0,73.9,27.0,f,0.0,0.0,17096.5517204,17039.56,15000.0,2096.55,0.0,0.0,0.0,Nov-2015,473.73,Jan-2016,0.0,INDIVIDUAL,0.0,0.0,30491.0,29000.0
40247634,43112362,20000.0,20000.0,20000.0, 60 months,10.99,434.75,B,B4,Transcriptionist,10+ years,MORTGAGE,70000.0,Source Verified,Apr-2015,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=40247634,credit_card,Credit card refinancing,775xx,TX,18.72,0.0,Aug-1996,0.0,17.0,1.0,9871.0,39.0,50.0,w,0.0,0.0,21482.97,21482.97,20000.0,1482.97,0.0,0.0,0.0,Dec-2015,18427.51,Dec-2015,0.0,INDIVIDUAL,0.0,0.0,108189.0,25300.0
12908263,14940436,14100.0,14100.0,14050.0, 36 months,19.47,520.21,D,D5,Medical Education Director,3 years,MORTGAGE,80000.0,Not Verified,Mar-2014,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12908263,debt_consolidation,Debt consolidation,770xx,TX,11.66,0.0,Sep-2005,1.0,9.0,0.0,14017.0,81.0,18.0,f,0.0,0.0,16946.3,16886.21,14100.0,2846.3,0.0,0.0,0.0,May-2015,10145.25,Jan-2016,0.0,INDIVIDUAL,0.0,0.0,262796.0,17300.0
4545884,5798103,10000.0,10000.0,10000.0, 36 months,17.77,360.38,D,D1,St. Francis Hospital,9 years,MORTGAGE,75000.0,Not Verified,May-2013,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=4545884,major_purchase,Consolidate,197xx,DE,4.59,0.0,Feb-1999,2.0,16.0,1.0,6397.0,52.4,23.0,w,0.0,0.0,12056.5028976,12056.5,10000.0,2056.5,0.0,0.0,0.0,Oct-2014,6290.42,Jan-2016,0.0,INDIVIDUAL,0.0,0.0,188474.0,12200.0
12966136,14998338,13000.0,13000.0,13000.0, 36 months,7.9,406.78,A,A4,Social Worker,10+ years,MORTGAGE,58000.0,Not Verified,Apr-2014,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12966136,debt_consolidation,Debt consolidation,988xx,WA,21.29,1.0,Aug-1991,1.0,11.0,0.0,12080.0,48.9,22.0,w,0.0,0.0,14142.65,14142.65,13000.0,1142.65,0.0,0.0,0.0,Aug-2015,8040.95,Jan-2016,0.0,INDIVIDUAL,0.0,0.0,149620.0,24700.0
12337406,14329540,25200.0,25200.0,25200.0, 36 months,10.99,824.9,B,B2,Managing Director,9 years,MORTGAGE,96000.0,Not Verified,Feb-2014,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12337406,debt_consolidation,Debt consolidation,118xx,NY,16.34,1.0,Jul-1999,0.0,16.0,0.0,14972.0,51.1,25.0,w,0.0,0.0,27766.49,27766.49,25200.0,2566.49,0.0,0.0,0.0,Apr-2015,17867.69,Sep-2015,0.0,INDIVIDUAL,0.0,0.0,400483.0,29300.0
7656284,9338348,5000.0,5000.0,5000.0, 60 months,24.08,144.08,F,F2,Associate,1 year,RENT,52500.0,Verified,Oct-2013,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=7656284,debt_consolidation,Loam,750xx,TX,12.18,1.0,Jul-2005,1.0,5.0,0.0,3354.0,40.9,12.0,w,0.0,0.0,5317.94,5317.94,5000.0,317.94,0.0,0.0,0.0,Feb-2014,995.7,Feb-2014,0.0,INDIVIDUAL,0.0,0.0,20686.0,8200.0
1495167,1755074,2000.0,2000.0,2000.0, 36 months,12.12,66.55,B,B3,Professional Service Industries,< 1 year,RENT,45760.0,Source Verified,Aug-2012,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1495167,other,Other,970xx,OR,18.57,0.0,Nov-2002,0.0,4.0,0.0,10618.0,83.6,13.0,f,0.0,0.0,2394.97121275,2394.97,2000.0,394.97,0.0,0.0,0.0,Sep-2015,67.93,Aug-2015,0.0,INDIVIDUAL,0.0,0.0,36010.0,12700.0
3627193,4579513,15000.0,15000.0,15000.0, 36 months,12.12,499.08,B,B3,Morgan Stanley Wealth Management,6 years,MORTGAGE,67000.0,Verified,Mar-2013,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=3627193,credit_card,Card Refinance,605xx,IL,14.93,0.0,Aug-1999,1.0,5.0,0.0,57080.0,93.4,18.0,w,0.0,0.0,17803.7453722,17803.75,15000.0,2803.75,0.0,0.0,0.0,Jul-2015,4329.58,Oct-2015,0.0,INDIVIDUAL,0.0,0.0,57080.0,61100.0
6926151,8568198,10000.0,10000.0,10000.0, 60 months,23.5,284.79,F,F1,Comcast,6 years,MORTGAGE,45000.0,Verified,Sep-2013,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=6926151,wedding,Wedding Loan,481xx,MI,10.24,0.0,Feb-2000,1.0,9.0,0.0,7155.0,48.3,29.0,f,0.0,0.0,13185.36,13185.36,9999.95,3185.41,0.0,0.0,0.0,Feb-2015,8628.87,Feb-2015,0.0,INDIVIDUAL,0.0,0.0,39460.0,14800.0
7103545,8765118,19950.0,19950.0,19950.0, 36 months,6.62,612.54,A,A2,American Behavioral,10+ years,OWN,80000.0,Not Verified,Sep-2013,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=7103545,debt_consolidation,No More Debt,361xx,AL,16.54,0.0,Oct-1989,1.0,9.0,0.0,23955.0,41.5,21.0,f,0.0,0.0,21552.3601037,21552.36,19950.0,1602.36,0.0,0.0,0.0,Jul-2015,3590.63,Jul-2015,0.0,INDIVIDUAL,0.0,0.0,31166.0,137700.0
38469435,41263377,20000.0,20000.0,20000.0, 60 months,12.39,448.85,C,C1,Utilization Mngt Coordinator,9 years,RENT,45000.0,Source Verified,Jan-2015,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=38469435,debt_consolidation,Debt consolidation,123xx,NY,19.8,0.0,Aug-1989,0.0,11.0,0.0,13230.0,46.6,30.0,w,0.0,0.0,21308.21,21308.21,20000.0,1308.21,0.0,0.0,0.0,Jul-2015,19077.73,Jul-2015,0.0,INDIVIDUAL,0.0,0.0,20752.0,28400.0
4166819,5309143,34975.0,34975.0,34975.0, 36 months,13.11,1180.3,B,B4,University California Berkeley,6 years,RENT,135000.0,Verified,Apr-2013,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=4166819,credit_card,Credit card refinancing,945xx,CA,13.63,0.0,Dec-1997,1.0,9.0,0.0,44832.0,59.1,30.0,f,0.0,0.0,36094.98,36094.98,34975.0,1119.98,0.0,0.0,0.0,Jul-2013,33737.76,May-2015,0.0,INDIVIDUAL,0.0,0.0,90064.0,75900.0
26317941,28790960,20000.0,20000.0,19875.0, 36 months,12.49,668.98,B,B5,Engineer,10+ years,MORTGAGE,110000.0,Source Verified,Aug-2014,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=26317941,debt_consolidation,Debt consolidation,147xx,NY,19.88,0.0,Feb-1989,2.0,15.0,0.0,17428.0,71.4,33.0,f,0.0,0.0,22345.76,22206.1,20000.0,2345.76,0.0,0.0,0.0,Oct-2015,14318.0,Jan-2016,0.0,INDIVIDUAL,0.0,0.0,181845.0,24400.0
31196547,33769721,18000.0,18000.0,18000.0, 36 months,7.69,561.49,A,A4,"Manager, NERC Compliance",10+ years,MORTGAGE,120000.0,Not Verified,Oct-2014,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=31196547,credit_card,Credit card refinancing,986xx,WA,8.31,1.0,Apr-2001,1.0,11.0,0.0,28561.0,47.4,24.0,f,0.0,0.0,18893.77,18893.77,18000.0,893.77,0.0,0.0,0.0,Jun-2015,14978.72,Dec-2015,0.0,INDIVIDUAL,0.0,0.0,221145.0,60200.0
10835311,12827448,8000.0,8000.0,7975.0, 36 months,9.67,256.9,B,B1,NIGHT SUPERVISOR,10+ years,MORTGAGE,55000.0,Not Verified,Jan-2014,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=10835311,other,Other,984xx,WA,6.0,0.0,Jan-2001,0.0,4.0,0.0,8528.0,79.0,25.0,f,0.0,0.0,8995.44,8967.33,8000.0,995.44,0.0,0.0,0.0,Oct-2015,4114.34,Jan-2016,0.0,INDIVIDUAL,0.0,0.0,196373.0,10800.0
7649816,9331729,10000.0,10000.0,10000.0, 36 months,17.76,360.33,D,D1,Manager,10+ years,RENT,40000.0,Source Verified,Oct-2013,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=7649816,credit_card,CC Payments,600xx,IL,15.42,0.0,Oct-1991,1.0,6.0,1.0,9905.0,94.3,13.0,f,0.0,0.0,11963.48,11963.48,9999.95,1963.53,0.0,0.0,0.0,Feb-2015,6558.61,Feb-2015,0.0,INDIVIDUAL,0.0,0.0,15916.0,10500.0
2905651,3537936,18000.0,18000.0,18000.0, 60 months,15.8,435.82,C,C3,EG,8 years,RENT,60000.0,Verified,Jan-2013,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=2905651,debt_consolidation,Consolidation,088xx,NJ,14.1,0.0,Aug-2002,0.0,5.0,1.0,2896.0,25.0,7.0,f,0.0,0.0,24219.8525145,24219.85,18000.0,6219.85,0.0,0.0,0.0,Sep-2015,10713.2,Sep-2015,0.0,INDIVIDUAL,0.0,0.0,28882.0,11600.0
38454671,41248427,24925.0,24925.0,24925.0, 36 months,10.49,810.01,B,B3,Maintenance,9 years,OWN,50000.0,Verified,Jan-2015,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=38454671,debt_consolidation,Debt consolidation,995xx,AK,19.9,0.0,Aug-1988,0.0,20.0,0.0,15604.0,21.6,38.0,f,0.0,0.0,26949.3199308,26949.32,24925.0,2024.32,0.0,0.0,0.0,Nov-2015,19673.76,Nov-2015,0.0,INDIVIDUAL,0.0,0.0,82718.0,72200.0
20778826,23051619,16200.0,16200.0,16200.0, 60 months,13.35,371.51,C,C2,REAL ESTATE CLOSER,7 years,MORTGAGE,70200.0,Not Verified,Jul-2014,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=20778826,debt_consolidation,Debt consolidation,303xx,GA,20.42,0.0,Jul-1985,0.0,13.0,0.0,23537.0,61.5,36.0,f,0.0,0.0,17993.04,17993.04,16200.0,1793.04,0.0,0.0,0.0,May-2015,14649.45,May-2015,0.0,INDIVIDUAL,0.0,0.0,215292.0,38300.0
27711072,30174176,1000.0,1000.0,1000.0, 36 months,6.49,30.65,A,A2,General Manager,10+ years,MORTGAGE,250000.0,Verified,Oct-2014,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=27711072,other,Other,166xx,PA,0.28,0.0,Feb-2002,0.0,5.0,0.0,4139.0,8.8,13.0,w,0.0,0.0,1005.41,1005.41,1000.0,5.41,0.0,0.0,0.0,Nov-2014,1005.41,Oct-2014,0.0,INDIVIDUAL,0.0,0.0,299179.0,147000.0
1621591,1893580,1400.0,1400.0,1400.0, 36 months,15.31,48.75,C,C2,jpmorgan chase,1 year,RENT,45000.0,Not Verified,Oct-2012,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1621591,other,car repair,925xx,CA,11.31,0.0,Oct-1998,1.0,16.0,0.0,4216.0,79.5,26.0,f,0.0,0.0,1728.95503962,1728.96,1400.0,328.96,0.0,0.0,0.0,Jan-2015,461.94,Sep-2015,0.0,INDIVIDUAL,0.0,0.0,13721.0,5300.0
11296343,13208526,15000.0,15000.0,15000.0, 36 months,7.62,467.43,A,A3,Manager,6 years,RENT,90000.0,Source Verified,Feb-2014,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=11296343,debt_consolidation,Debt consolidation,606xx,IL,22.84,0.0,Feb-2006,0.0,33.0,0.0,23048.0,55.6,49.0,w,0.0,0.0,16517.28,16517.28,15000.0,1517.28,0.0,0.0,0.0,Nov-2015,7168.68,Jan-2016,0.0,INDIVIDUAL,0.0,0.0,152525.0,41436.0
2824664,3406833,8000.0,8000.0,8000.0, 36 months,18.49,291.19,D,D2,ref-chem,10+ years,MORTGAGE,80000.0,Verified,Dec-2012,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=2824664,small_business,Business,776xx,TX,18.6,0.0,May-2004,1.0,6.0,0.0,3871.0,59.6,18.0,w,0.0,0.0,9466.42158939,9466.42,8000.0,1466.42,0.0,0.0,0.0,May-2014,1013.72,Jan-2016,0.0,INDIVIDUAL,0.0,0.0,44856.0,6500.0
8195169,9937287,28000.0,28000.0,28000.0, 36 months,15.61,979.02,C,C3,IT Director,10+ years,MORTGAGE,140000.0,Source Verified,Oct-2013,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=8195169,credit_card,Credit card refinancing,752xx,TX,14.87,0.0,Feb-2002,2.0,12.0,0.0,32438.0,82.1,43.0,w,0.0,0.0,32574.55,32574.55,28000.0,4574.55,0.0,0.0,0.0,Jan-2015,18868.27,Aug-2015,0.0,INDIVIDUAL,0.0,0.0,101478.0,39500.0
5606159,6988392,25000.0,25000.0,25000.0, 60 months,23.63,713.85,F,F3,San Joaquin County,10+ years,RENT,86600.0,Verified,Jun-2013,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=5606159,debt_consolidation,Debt Consolidation ,952xx,CA,11.97,2.0,Aug-2003,2.0,6.0,0.0,7909.0,86.9,20.0,f,0.0,0.0,26463.66,26463.66,25000.0,1463.66,0.0,0.0,0.0,Sep-2013,25036.08,Sep-2013,0.0,INDIVIDUAL,0.0,87.0,12979.0,9100.0
6694731,8296892,35000.0,35000.0,35000.0, 60 months,21.6,958.72,E,E3,Lord Abbett,8 years,RENT,250000.0,Verified,Aug-2013,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=6694731,credit_card,Amex,070xx,NJ,8.85,0.0,Mar-1990,0.0,7.0,0.0,29312.0,75.9,14.0,w,0.0,0.0,35630.0,35630.0,35000.0,630.0,0.0,0.0,0.0,Sep-2013,35630.0,Sep-2015,0.0,INDIVIDUAL,0.0,0.0,72367.0,38600.0
